Sample,Branched GDGT-III,Branched GDGT-II,Branched GDGT-IIa,Branched GDGT-I,Branched GDGT-Ia,Branched GDGT-Ib,Branched GDGT-IIIa,Branched GDGT-IIb,brGMGT-III,brGMGT-II,brGMGT-I,br GMD I,br GMD III,OB-GDGT-II,OB-GDGT-III,OB-GDGT-IV,OB-GDGT-V,OB-GDGT-I,OB-GDGT-VI,br GDD III,br GDD II,br GDD I,br GDD Ia,br GDD IIa,br GDD IIIa,br GDD Ib
190724ZA,4.1413871027296085e-13,7.831279920717214e-13,,9.975599844138677e-13,6.531400293191619e-13,,,,,,6.813864452232656e-13,,,7.800088029177693e-14,4.270300706525723e-13,2.3386067605404753e-13,1.4626407422644214e-13,,,,,,,,,
190724ZE,,2.4283795368138855e-13,,3.6862601772561364e-13,,,,,,,,,,,,,,,,,,,,,,
190728ZQ,1.5192219210849365e-11,6.718511150343328e-11,6.796229793625829e-12,1.7177783206114658e-10,2.1677664580984797e-11,3.176259096962015e-12,,1.9574875646925256e-12,,1.23351240261658e-12,5.29065383044848e-12,,,5.819564300638963e-12,7.045772453393137e-11,2.927987989654066e-11,1.2428468542697794e-11,5.205127691872911e-13,1.0356976407741945e-12,,1.990375713699737e-12,3.0498080564047545e-12,4.3280897624774593e-13,,,
190728ZS,,1.714739061527852e-12,,2.290059218706375e-12,,,,,,,,,,,8.370317834752075e-13,3.655974348280702e-13,,,,,,,,,,
190728ZT,3.78762200653515e-11,7.17670637269566e-11,4.956034976359353e-12,7.342665846408695e-11,1.2974012242972578e-11,1.3802315721676253e-12,1.0246278204357133e-12,1.0225275758424634e-12,2.309243758344613e-12,,1.7542592076798196e-11,1.630835073324295e-12,,2.677228223760522e-12,9.900613592422919e-12,4.591344392335667e-12,2.595722070226771e-12,5.922487157293346e-13,,2.635804522542689e-12,4.926366882089911e-12,4.160871425189301e-12,8.204946899299113e-13,,,
190728ZU,,2.958285167527205e-12,,9.418233480229116e-12,,,,,,,5.174189827764224e-12,,,2.5515830967722355e-12,2.8924510117897676e-11,1.0137395391256491e-11,4.545851556352334e-12,1.858007858301601e-13,5.350063824833743e-13,,,,,,,
190728ZV,9.979986599591577e-13,2.9554736364211656e-12,3.426023223148472e-13,6.669668942012027e-12,5.709328642220031e-13,1.7617630936935885e-13,,,,,6.162398714645238e-13,,,2.07490444880516e-13,2.192250730195072e-12,8.504729578957e-13,2.9885444156982855e-13,,,1.512426284946018e-13,2.356851738809573e-13,4.715558622965799e-13,6.184279932287391e-14,,,
190720ZJ,,,,,,,,,,,,,,,,,,,,,,,,,,
190720ZK,,,,,,,,,,,,,,,,,,,,,,,,,,
190720ZL,,,,,,,,,,,,,,,,,,,,,,,,,,
